4.893865s 93.87ms | mys [55 80]ms | c 36 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000033 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.942932s 42.93ms | mys [55 80]ms | c 36 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000035 | [#01]->[#02] | T 4 | 0054B | D 12ms | Bw 0.0Bps | pms# 0
4.988371s 88.37ms | mys [56 81]ms | c 37 | 000.000ms | 01pkts | hdr [04 4.01 29]ms 4/4 | Rq 00ms | s# 0402000033 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.993867s 93.87ms | mys [56 81]ms | c 37 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000034 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.042929s 42.93ms | mys [56 81]ms | c 37 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000036 | [#01]->[#02] | T 4 | 0054B | D 11ms | Bw 0.0Bps | pms# 0
5.089443s 89.44ms | mys [57 82]ms | c 38 | 000.000ms | 01pkts | hdr [05 5.00 30]ms 4/4 | Rq 00ms | s# 0402000034 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.093863s 93.86ms | mys [57 82]ms | c 38 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000035 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.142932s 42.93ms | mys [57 82]ms | c 38 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000037 | [#01]->[#02] | T 4 | 0054B | D 10ms | Bw 0.0Bps | pms# 0
5.190612s 90.61ms | mys [58 83]ms | c 39 | 000.000ms | 01pkts | hdr [06 6.01 31]ms 4/4 | Rq 00ms | s# 0402000035 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.193620s 93.62ms | mys [58 83]ms | c 39 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000036 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.242927s 42.93ms | mys [58 83]ms | c 39 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000038 | [#01]->[#02] | T 4 | 0054B | D 09ms | Bw 0.0Bps | pms# 0
5.291598s 91.60ms | mys [59 84]ms | c 40 | 000.000ms | 00pkts | hdr [07 7.01 32]ms 4/4 | Rq 00ms | s# 0402000036 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.293847s 93.85ms | mys [59 84]ms | c 40 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000037 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.342930s 42.93ms | mys [59 84]ms | c 40 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000039 | [#01]->[#02] | T 4 | 0054B | D 08ms | Bw 0.0Bps | pms# 0
5.392654s 92.65ms | mys [60 85]ms | c 41 | 000.000ms | 01pkts | hdr [08 8.01 33]ms 4/4 | Rq 00ms | s# 0402000037 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.393803s 93.80ms | mys [60 85]ms | c 41 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000038 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.442928s 42.93ms | mys [60 85]ms | c 41 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000040 | [#01]->[#02] | T 4 | 0054B | D 07ms | Bw 0.0Bps | pms# 0
5.493370s 93.37ms | mys [61 86]ms | c 42 | 000.000ms | 01pkts | hdr [09 9.01 34]ms 4/4 | Rq 00ms | s# 0402000038 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.493728s 93.73ms | mys [61 86]ms | c 42 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000039 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.542930s 42.93ms | mys [61 86]ms | c 42 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000041 | [#01]->[#02] | T 4 | 0054B | D 06ms | Bw 0.0Bps | pms# 0
5.593822s 93.82ms | mys [62 87]ms | c 43 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000040 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
